internal_id,source_name,mercury_story_name,sprite_source_path
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,graphics/pokemon/alakazam/redux_mega/front.png
SPECIES_ARCANINE_MEGA_REDUX,Arcanine Mega Redux,Mega Delta Arcanine,graphics/pokemon/arcanine/mega_redux/front.png
SPECIES_AEGISLASH_REDUX_MEGA,Aegislash Redux Mega,Mega Delta Aegislash,graphics/pokemon/aegislash/redux_mega/front.png
SPECIES_AEGISLASH_BLADE_REDUX_MEGA,Aegislash Blade Redux Mega,Mega Delta Aegislash Blade,graphics/pokemon/aegislash/blade_redux_mega/front.png
SPECIES_AEGISLASH_REDUX,Aegislash Redux,Delta Aegislash,graphics/pokemon/aegislash/redux/front.png
SPECIES_AEGISLASH_BLADE_REDUX,Aegislash Blade Redux,Delta Aegislash Blade,graphics/pokemon/aegislash/blade_redux/front.png
SPECIES_ABRA_REDUX,Abra Redux,Delta Abra,graphics/pokemon/abra/redux/front.png
SPECIES_ALAKAZAM_REDUX,Alakazam Redux,Delta Alakazam,graphics/pokemon/alakazam/redux/front.png
SPECIES_ARCANINE_REDUX,Arcanine Redux,Delta Arcanine,graphics/pokemon/arcanine/redux/front.png
SPECIES_BEEDRILL_MEGA_REDUX,Beedrill Mega Redux,Mega Delta Beedrill,graphics/pokemon/beedrill/mega_redux/front.png
SPECIES_CLAWITZER_REDUX,Clawitzer Redux,Delta Clawitzer,graphics/pokemon/clawitzer/redux/front.png
SPECIES_BEEDRILL_REDUX,Beedrill Redux,Delta Beedrill,graphics/pokemon/beedrill/redux/front.png
SPECIES_BEWEAR_REDUX,Bewear Redux,Delta Bewear,graphics/pokemon/bewear/redux/front.png
SPECIES_BUIZEL_REDUX,Buizel Redux,Delta Buizel,graphics/pokemon/buizel/redux/front.png
SPECIES_AZELF_REDUX,Azelf Redux,Delta Azelf,graphics/pokemon/azelf/redux/front.png
SPECIES_BISHARP_REDUX,Bisharp Redux,Delta Bisharp,graphics/pokemon/bisharp/redux/front.png
SPECIES_CHIMCHAR_REDUX,Chimchar Redux,Delta Chimchar,graphics/pokemon/chimchar/redux/front.png
SPECIES_BOUNSWEET_REDUX,Bounsweet Redux,Delta Bounsweet,graphics/pokemon/bounsweet/redux/front.png
SPECIES_CLEFABLE_REDUX,Clefable Redux,Delta Clefable,graphics/pokemon/clefable/redux/front.png
SPECIES_CLEFABLE_REDUX_MEGA,Clefable Redux Mega,Mega Delta Clefable,graphics/pokemon/clefable/redux_mega/front.png
SPECIES_DOUBLADE_REDUX,Doublade Redux,Delta Doublade,graphics/pokemon/doublade/redux/front.png
SPECIES_DEINO_REDUX,Deino Redux,Delta Deino,graphics/pokemon/deino/redux/front.png
SPECIES_DODUO_REDUX,Doduo Redux,Delta Doduo,graphics/pokemon/doduo/redux/front.png
SPECIES_DODRIO_REDUX,Dodrio Redux,Delta Dodrio,graphics/pokemon/dodrio/redux/front.png
SPECIES_CRABRAWLER_REDUX,Crabrawler Redux,Delta Crabrawler,graphics/pokemon/crabrawler/redux/front.png
SPECIES_CRABOMINABLE_REDUX,Crabominable Redux,Delta Crabominable,graphics/pokemon/crabominable/redux/front.png
SPECIES_CLEFFA_REDUX,Cleffa Redux,Delta Cleffa,graphics/pokemon/cleffa/redux/front.png
SPECIES_CLEFAIRY_REDUX,Clefairy Redux,Delta Clefairy,graphics/pokemon/clefairy/redux/front.png
SPECIES_DEWGONG_REDUX,Dewgong Redux,Delta Dewgong,graphics/pokemon/dewgong/redux/front.png
SPECIES_DARUMAKA_REDUX,Darumaka Redux,Delta Darumaka,graphics/pokemon/darumaka/redux/front.png
SPECIES_DARMANITAN_REDUX,Darmanitan Redux,Delta Darmanitan,graphics/pokemon/darmanitan/redux/front.png
SPECIES_EMPOLEON_REDUX_MEGA,Empoleon Redux Mega,Mega Delta Empoleon,graphics/pokemon/empoleon/redux_mega/front.png
SPECIES_FLYGON_REDUX_MEGA,Flygon Redux Mega,Mega Delta Flygon,graphics/pokemon/flygon/redux_mega/front.png
SPECIES_FLOATZEL_REDUX,Floatzel Redux,Delta Floatzel,graphics/pokemon/floatzel/redux/front.png
SPECIES_DUOSION_REDUX,Duosion Redux,Delta Duosion,graphics/pokemon/duosion/redux/front.png
SPECIES_EXPLOUD_REDUX,Exploud Redux,Delta Exploud,graphics/pokemon/exploud/redux/front.png
SPECIES_ESCARGINITE_REDUX,Escarginite Redux,Delta Escarginite,graphics/pokemon/escarginite/redux/front.png
SPECIES_EMPOLEON_REDUX,Empoleon Redux,Delta Empoleon,graphics/pokemon/empoleon/redux/front.png
SPECIES_FLYGON_REDUX,Flygon Redux,Delta Flygon,graphics/pokemon/flygon/redux/front.png
SPECIES_FROSLASS_REDUX,Froslass Redux,Delta Froslass,graphics/pokemon/froslass/redux/front.png
SPECIES_GARCHOMP_MEGA_REDUX,Garchomp Mega Redux,Mega Delta Garchomp,graphics/pokemon/garchomp/mega_redux/front.png
SPECIES_HOUNDOOM_MEGA_REDUX,Houndoom Mega Redux,Mega Delta Houndoom,graphics/pokemon/houndoom/mega_redux/front.png
SPECIES_GLALIE_REDUX_MEGA,Glalie Redux Mega,Mega Delta Glalie,graphics/pokemon/glalie/redux_mega/front.png
