internal_id,source_name,mercury_story_name,delta_story_form,asset_kind,repo_path,raw_url
SPECIES_ARACHTRES,Arachtres,Arachtres,NO,front,graphics/pokemon/arachtres/front.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arachtres/front.png
SPECIES_ARACHTRES,Arachtres,Arachtres,NO,back,graphics/pokemon/arachtres/back.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arachtres/back.png
SPECIES_ARACHTRES,Arachtres,Arachtres,NO,icon,graphics/pokemon/arachtres/icon.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arachtres/icon.png
SPECIES_ARACHTRES,Arachtres,Arachtres,NO,normal_palette,graphics/pokemon/arachtres/normal.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arachtres/normal.pal
SPECIES_ARACHTRES,Arachtres,Arachtres,NO,shiny_palette,graphics/pokemon/arachtres/shiny.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arachtres/shiny.pal
SPECIES_ARASHINNE,Arashinne,Arashinne,NO,front,graphics/pokemon/arashinne/front.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arashinne/front.png
SPECIES_ARASHINNE,Arashinne,Arashinne,NO,back,graphics/pokemon/arashinne/back.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arashinne/back.png
SPECIES_ARASHINNE,Arashinne,Arashinne,NO,icon,graphics/pokemon/arashinne/icon.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arashinne/icon.png
SPECIES_ARASHINNE,Arashinne,Arashinne,NO,normal_palette,graphics/pokemon/arashinne/normal.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arashinne/normal.pal
SPECIES_ARASHINNE,Arashinne,Arashinne,NO,shiny_palette,graphics/pokemon/arashinne/shiny.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/arashinne/shiny.pal
SPECIES_AMPHYBUZZ,Amphybuzz,Amphybuzz,NO,front,graphics/pokemon/amphybuzz/front.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/amphybuzz/front.png
SPECIES_AMPHYBUZZ,Amphybuzz,Amphybuzz,NO,back,graphics/pokemon/amphybuzz/back.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/amphybuzz/back.png
SPECIES_AMPHYBUZZ,Amphybuzz,Amphybuzz,NO,icon,graphics/pokemon/amphybuzz/icon.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/amphybuzz/icon.png
SPECIES_AMPHYBUZZ,Amphybuzz,Amphybuzz,NO,normal_palette,graphics/pokemon/amphybuzz/normal.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/amphybuzz/normal.pal
SPECIES_AMPHYBUZZ,Amphybuzz,Amphybuzz,NO,shiny_palette,graphics/pokemon/amphybuzz/shiny.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/amphybuzz/shiny.pal
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,YES,front,graphics/pokemon/alakazam/redux_mega/front.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/alakazam/redux_mega/front.png
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,YES,back,graphics/pokemon/alakazam/redux_mega/back.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/alakazam/redux_mega/back.png
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,YES,icon,graphics/pokemon/alakazam/redux_mega/icon.png,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/alakazam/redux_mega/icon.png
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,YES,normal_palette,graphics/pokemon/alakazam/redux_mega/normal.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/alakazam/redux_mega/normal.pal
SPECIES_ALAKAZAM_MEGA_REDUX,Alakazam Mega Redux,Mega Delta Alakazam,YES,shiny_palette,graphics/pokemon/alakazam/redux_mega/shiny.pal,https://raw.githubusercontent.com/Elite-Redux/eliteredux-source/8bf8bf062e40724cc07569d84c67763f20e4d00e/graphics/pokemon/alakazam/redux_mega/shiny.pal
