source_id,base_pokemon,variant,source,reason
ER-1889,Absol,Absol Mega Z,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1503,Barbaracle,Barbaracle Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1902,Baxcalibur,Baxcalibur Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1681,Chandelure,Chandelure Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1488,Chesnaught,Chesnaught Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1888,Chimecho,Chimecho Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1699,Clefable,Clefable Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1585,Clefable,Clefable Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1893,Darkrai,Darkrai Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1489,Delphox,Delphox Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1494,Dragalge,Dragalge Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1527,Dragonite,Dragonite Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1504,Drampa,Drampa Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1491,Eelektross,Eelektross Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1617,Emboar,Emboar Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
BP-MEGA-004,Empoleon,Mega Empoleon,Banished Platinum / Original Megas,SUPERSEDED — locked Elite Redux standard starter Mega selected
ER-1498,Excadrill,Excadrill Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1486,Falinks,Falinks Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1501,Floette,Floette Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1587,Froslass,Froslass Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
BP-MEGA-005,Froslass,Mega Froslass,Banished Platinum / Original Megas,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1891,Garchomp,Garchomp Mega Z,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1900,Glimmora,Glimmora Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1896,Golisopod,Golisopod Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1894,Golurk,Golurk Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1490,Greninja,Greninja Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1495,Hawlucha,Hawlucha Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1892,Heatran,Heatran Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
BP-MEGA-007,Infernape,Mega Infernape,Banished Platinum / Original Megas,SUPERSEDED — locked Elite Redux standard starter Mega selected
ER-1563,Lucario,Lucario Mega Z,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1897,Magearna,Magearna Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1492,Malamar,Malamar Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1536,Meganium,Meganium Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1895,Meowstic,Meowstic Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1487,Pyroar,Pyroar Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1887,Raichu,Raichu Mega X,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1475,Raichu,Raichu Mega Y,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1499,Scolipede,Scolipede Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1899,Scovillain,Scovillain Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1485,Scrafty,Scrafty Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1553,Skarmory,Skarmory Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1890,Staraptor,Staraptor Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
BP-MEGA-017,Staraptor,Mega Staraptor,Banished Platinum / Original Megas,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1505,Starmie,Starmie Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
BP-MEGA-019,Torterra,Mega Torterra,Banished Platinum / Original Megas,SUPERSEDED — locked Elite Redux standard starter Mega selected
ER-1493,Victreebel,Victreebel Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1898,Zeraora,Zeraora Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1502,Zygarde,Zygarde Mega,Elite Redux,"CANON MEGA — automatic, removed from fan-Mega approval list"
ER-1839,Darmanitan,Darmanitan Redux Bond,Elite Redux,EXACT SPRITE DUPLICATE — kept ER-1837 instead
CPF-0341,Ribombee,Ribombee — BlueTowel Alternate form (Form 2),Reborn / Plates of Arceus,EXACT SPRITE DUPLICATE — kept CPF-0340 instead
ER-1906,Slate,Slate,Elite Redux,EXACT SPRITE DUPLICATE OF CANON-FILTERED FORM
