review_id,dex,family_anchor,family_line,source_id,base_pokemon,variant,source,group,kind,type1,type2,asset_state,suggested_mercury_classification,suggested_acquisition,locked_status,approval,notes
R0001,3,1,#0001 Bulbasaur → #0002 Ivysaur → #0003 Venusaur,ER-1592,Venusaur,Venusaur Mega X,Elite Redux,04 Elite Redux - Standard Megas,Mega,Grass,Poison,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0002,3,1,#0001 Bulbasaur → #0002 Ivysaur → #0003 Venusaur,PR-0003,Venusaur,Platinum Redux Venusaur,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Grass,Water,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0003,6,4,#0004 Charmander → #0005 Charmeleon → #0006 Charizard,ER-1595,Charizard,Charizard Mega Z,Elite Redux,03 Elite Redux - New Species & Evolutions,Mega,Fire,,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0004,6,4,#0004 Charmander → #0005 Charmeleon → #0006 Charizard,PR-0006,Charizard,Platinum Redux Charizard,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Fire,Dragon,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0005,9,7,#0007 Squirtle → #0008 Wartortle → #0009 Blastoise,ER-1593,Blastoise,Blastoise Mega X,Elite Redux,04 Elite Redux - Standard Megas,Mega,Water,Steel,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0006,9,7,#0007 Squirtle → #0008 Wartortle → #0009 Blastoise,PR-0009,Blastoise,Platinum Redux Blastoise,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Rock,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0007,10,10,#0010 Caterpie → #0011 Metapod → #0012 Butterfree,CPF-0001,Caterpie,Caterpie — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0008,12,10,#0010 Caterpie → #0011 Metapod → #0012 Butterfree,ER-1509,Butterfree,Butterfree Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Bug,Psychic,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0009,12,10,#0010 Caterpie → #0011 Metapod → #0012 Butterfree,PR-0012,Butterfree,Platinum Redux Butterfree,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Psychic,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0010,12,10,#0010 Caterpie → #0011 Metapod → #0012 Butterfree,CPF-0002,Butterfree,Butterfree — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ghost,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0011,13,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,ER-1723,Weedle,Weedle Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ice,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0012,13,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,CPF-0003,Weedle,Weedle — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0013,14,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,ER-1724,Kakuna,Kakuna Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ice,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0014,14,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,CPF-0004,Kakuna,Kakuna — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0015,15,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,ER-1725,Beedrill,Beedrill Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Ice,Poison,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0016,15,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,ER-1551,Beedrill,Beedrill Mega Redux,Elite Redux,06 Elite Redux - Redux Megas,Mega,Ice,Poison,4-view complete,Mega Delta,Mega Evolution of the corresponding Delta form,REVIEW,PENDING,
R0017,15,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,CPF-0005,Beedrill,Beedrill — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0018,15,13,#0013 Weedle → #0014 Kakuna → #0015 Beedrill,CPF-0006,Beedrill,Beedrill — Alternate Mega (Form 3),Reborn / Plates of Arceus,02 Reborn - Explicit Megas,Mega,Bug,Ice,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0019,16,16,#0016 Pidgey → #0017 Pidgeotto → #0018 Pidgeot,CPF-0007,Pidgey,Pidgey — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ice,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0020,17,16,#0016 Pidgey → #0017 Pidgeotto → #0018 Pidgeot,CPF-0008,Pidgeotto,Pidgeotto — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ice,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0021,18,16,#0016 Pidgey → #0017 Pidgeotto → #0018 Pidgeot,CPF-0009,Pidgeot,Pidgeot — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ice,Flying,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0022,18,16,#0016 Pidgey → #0017 Pidgeotto → #0018 Pidgeot,CPF-0010,Pidgeot,Pidgeot — Mega Alternate (Form 3),Reborn / Plates of Arceus,02 Reborn - Explicit Megas,Mega,Ice,Flying,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0023,19,19,#0019 Rattata → #0020 Raticate,ER-1672,Rattata,Rattata Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Poison,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0024,20,19,#0019 Rattata → #0020 Raticate,ER-1673,Raticate,Raticate Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Poison,Fighting,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0025,20,19,#0019 Rattata → #0020 Raticate,PR-0020,Raticate,Platinum Redux Raticate,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Dark,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0026,21,21,#0021 Spearow → #0022 Fearow,ER-1903,Spearow,Spearow Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Fighting,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0027,22,21,#0021 Spearow → #0022 Fearow,ER-1904,Fearow,Fearow Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Fighting,Dark,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0028,22,21,#0021 Spearow → #0022 Fearow,PR-0022,Fearow,Platinum Redux Fearow,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Electric,Flying,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0029,24,23,#0023 Ekans → #0024 Arbok,ER-1566,Arbok,Arbok Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Poison,Dark,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0030,24,23,#0023 Ekans → #0024 Arbok,PR-0024,Arbok,Platinum Redux Arbok,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Poison,Dragon,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0031,172,25,#0172 Pichu → #0025 Pikachu → #0026 Raichu,PR-0172,Pichu,Platinum Redux Pichu,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Fire,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0032,25,25,#0172 Pichu → #0025 Pikachu → #0026 Raichu,ER-1612,Pikachu,Pikachu Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Electric,,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0033,26,25,#0172 Pichu → #0025 Pikachu → #0026 Raichu,PR-0026,Raichu,Platinum Redux Raichu,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Electric,Psychic,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0034,28,27,#0027 Sandshrew → #0028 Sandslash,ER-1666,Sandslash,Sandslash Alolan Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Ice,Steel,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0035,28,27,#0027 Sandshrew → #0028 Sandslash,ER-1540,Sandslash,Sandslash Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Ground,,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0036,28,27,#0027 Sandshrew → #0028 Sandslash,PR-0028,Sandslash,Platinum Redux Sandslash,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ground,Ice,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0037,31,29,#0029 Nidoran♀ → #0030 Nidorina → #0031 Nidoqueen,ER-1539,Nidoqueen,Nidoqueen Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Poison,Ground,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0038,34,32,#0032 Nidoran♂ → #0033 Nidorino → #0034 Nidoking,ER-1538,Nidoking,Nidoking Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Poison,Ground,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0039,34,32,#0032 Nidoran♂ → #0033 Nidorino → #0034 Nidoking,PR-0034,Nidoking,Platinum Redux Nidoking,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Poison,Ice,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0040,173,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,ER-1825,Cleffa,Cleffa Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Rock,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0041,173,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,PR-0173,Cleffa,Platinum Redux Cleffa,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0042,35,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,ER-1826,Clefairy,Clefairy Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Rock,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0043,35,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,CPF-0011,Clefairy,Clefairy — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fairy,Ghost,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0044,36,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,ER-1827,Clefable,Clefable Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Rock,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0045,36,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,ER-1496,Clefable,Clefable Mega Y,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fairy,Flying,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0046,36,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,PR-0036,Clefable,Platinum Redux Clefable,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Steel,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0047,36,35,#0173 Cleffa → #0035 Clefairy → #0036 Clefable,CPF-0012,Clefable,Clefable — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fairy,Ghost,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0048,37,37,#0037 Vulpix → #0038 Ninetales,CPF-0013,Vulpix,Vulpix — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fire,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0049,37,37,#0037 Vulpix → #0038 Ninetales,CPF-0014,Vulpix,Vulpix — Alternate (Form 3),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Grass,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0050,38,37,#0037 Vulpix → #0038 Ninetales,PR-0038,Ninetales,Platinum Redux Ninetales,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Fire,Ice,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0051,38,37,#0037 Vulpix → #0038 Ninetales,CPF-0015,Ninetales,Ninetales — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Fire,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0052,38,37,#0037 Vulpix → #0038 Ninetales,CPF-0016,Ninetales,Ninetales — Alternate (Form 3),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Grass,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0053,174,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,PR-0174,Igglybuff,Platinum Redux Igglybuff,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Ground,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0054,39,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,CPF-0017,Jigglypuff,Jigglypuff — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Flying,Fairy,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0055,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,ER-1801,Wigglytuff,Wigglytuff Apex,Elite Redux,03 Elite Redux - New Species & Evolutions,New Species / Evolution,Normal,Fairy,4-view complete,New species / evolution,Connection review needed — decide parent/evolution method in Notes,REVIEW,PENDING,
