pass2_group,key,display_name,source,prior_status
1,MERCURY-1,Delta Drifloon,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-2,Delta Drifblim,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-3,Mega Mismagius,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-4,Mega Toxicroak,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-5,Mega Infernape,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-6,Mega Empoleon,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-7,Mega Torterra,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-8,Mega Mamoswine,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-9,Mega Floatzel,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-10,Mega Honchkrow,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-11,Mega Bastiodon,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-12,Mega Bronzong,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-13,Mega Purugly,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-14,Mega Skuntank,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-15,Mega Weavile,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-16,Mega Crobat,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-17,Mega Drapion,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-18,Mega Magnezone,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-19,Mega Luxray,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-20,Mega Delta Drifblim,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-21,Mega Bibarel,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-22,Mega Snorlax,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-23,Mega Yanmega,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-24,Mega Hippowdon,New Mercury concept artwork,UNREVIEWED GROUP 1
